,4/17/2017,4/18/2017,4/19/2017,4/20/2017,4/21/2017,4/22/2017,4/23/2017,4/24/2017,4/25/2017,4/26/2017,4/27/2017
RU_all_count,6551298,6562859,6589259,6614480,6641359,6665251,6683531,6700418,6714962,6730122,6744327
RU_dream_count,1792,2159,41265,78435,123337,155500,175278,194604,210465,225558,239161
RU_s8_count,844,958,16554,30943,47232,59729,67757,75784,82280,88300,93957
RU_s8plus_count,1146,1407,24940,47770,76492,96262,108082,119481,128957,138148,146200
C/D only Gross CRU_all_count_cumulative,2465011,2468350,2477401,2488005,2500436,2511455,2519345,2526650,2532997,2539565,2545641
C/D only Gross CRU_dream_count_cumulative,1047,1265,19139,39003,62612,79616,89778,99432,107508,114922,121425
C/D only Gross CRU_s8_count_cumulative,486,555,7628,15224,23521,29955,33974,37855,41106,43994,46558
C/D only Gross CRU_s8plus_count_cumulative,677,828,11636,23922,39293,49910,56089,61908,66785,71368,75366
C/D only net CRU_all_count_cumulative,1691222,1691373,1695086,1703167,1713664,1723285,1729756,1735424,1740275,1744971,1749546
C/D only net CRU_dream_count_cumulative,853,1057,18743,38319,61395,78075,87954,97327,105191,112366,118597
C/D only net CRU_s8_count_cumulative,343,407,7396,14870,22970,29294,33204,36977,40134,42921,45385
C/D only net CRU_s8plus_count_cumulative,554,695,11398,23517,38546,48939,54939,60580,65329,69759,73573
C/D MAU_all_count,438760,439798,441118,445085,450300,456898,461075,464651,468033,471354,474626
C/D MAU_dream_count,554,612,1756,7015,14010,22658,28921,34605,39520,44159,48478
C/D MAU_s8_count,245,265,684,2785,5326,8532,10932,13123,15043,16825,18448
C/D MAU_s8plus_count,345,384,1110,4267,8724,14168,18039,21546,24553,27432,30137
C/D AU_all_count_cumulative,1295622,1297212,1299295,1302647,1306931,1312042,1316172,1320159,1323677,1327354,1330921
C/D AU_dream_count_cumulative,618,676,1821,7080,14078,22729,28994,34677,39591,44234,48553
C/D AU_s8_count_cumulative,285,305,723,2825,5368,8576,10978,13169,15089,16876,18501
C/D AU_s8plus_count_cumulative,386,425,1152,4310,8771,14218,18089,21595,24602,27482,30188
Reward Enroll_all_count_cumulative,1050938,1057018,1070823,1086684,1101271,1114070,1123627,1132572,1140191,1149199,1156470
Reward Enroll_dream_count_cumulative,1116,1350,23277,45519,70084,86735,96885,107155,115421,123197,130103
Reward Enroll_s8_count_cumulative,521,600,9323,17986,26710,33037,37059,41109,44441,47446,50242
Reward Enroll_s8plus_count_cumulative,735,895,14116,27730,43652,54044,60224,66505,71518,76364,80547
Reward C/D only Gross CRU_all_count_cumulative,817747,821650,830818,841893,853069,862995,870133,876714,882478,889250,894494
Reward C/D only Gross CRU_dream_count_cumulative,878,1049,14554,30316,48382,61446,69192,76685,82886,88505,93446
Reward C/D only Gross CRU_s8_count_cumulative,408,464,5848,11921,18215,23094,26156,29067,31542,33715,35657
Reward C/D only Gross CRU_s8plus_count_cumulative,575,692,8819,18524,30347,38573,43286,47909,51677,55171,58221
Reward C/D only Net CRU_all_count_cumulative,726819,729752,737468,747501,757866,767043,773491,779317,784453,790430,795033
Reward C/D only Net CRU_dream_count_cumulative,729,892,14276,29881,47634,60538,68136,75458,81552,87023,91832
Reward C/D only Net CRU_s8_count_cumulative,293,344,5677,11680,17869,22702,25702,28544,30971,33081,34969
Reward C/D only Net CRU_s8plus_count_cumulative,477,590,8646,18263,29872,37976,42598,47115,50815,54213,57175
Reward C/D only MAU_all_onetofour,124199,125190,126795,130933,135679,140622,143862,145715,146988,147903,148618
Reward C/D only MAU_all_fivetonine,69038,68979,69399,70479,72003,73932,75575,76897,78044,79074,79922
Reward C/D only MAU_all_morethannine,159042,159308,159474,160115,160849,162029,162091,162757,163799,165155,166545
Reward C/D only MAU_dream_onetofour,118,143,933,4505,8605,13223,16039,17913,19254,20312,21112
Reward C/D only MAU_dream_fivetonine,75,86,252,1101,2384,4099,5415,6670,7833,8877,9705
Reward C/D only MAU_dream_morethannine,323,342,398,779,1737,3238,4803,6707,8621,10630,12859
Reward C/D only MAU_s8_onetofour,52,60,354,1826,3302,5050,6226,6995,7577,8012,8286
Reward C/D only MAU_s8_fivetonine,27,33,89,422,922,1559,1977,2447,2914,3360,3712
Reward C/D only MAU_s8_morethannine,146,151,172,300,628,1147,1722,2394,3049,3731,4535
Reward C/D only MAU_s8plus_onetofour,68,85,579,2679,5303,8174,9815,10922,11680,12306,12831
Reward C/D only MAU_s8plus_fivetonine,50,55,164,680,1463,2542,3442,4230,4925,5524,5998
Reward C/D only MAU_s8plus_morethannine,207,221,257,508,1137,2121,3111,4346,5608,6944,8370
