Date,With active card,Without active card
2016-10-26,1668,219
2016-10-27,2051,1447
2016-10-28,1909,208
2016-10-29,1613,155
2016-10-30,1584,198
2016-10-31,1670,457
2016-11-01,1847,202
2016-11-02,1828,216
2016-11-03,1699,214
2016-11-04,2249,280
2016-11-05,2019,299
2016-11-06,1669,218
2016-11-07,1868,218
2016-11-08,1823,205
2016-11-09,1845,249
2016-11-10,1363,204
2016-11-11,1616,234
2016-11-12,1401,187
2016-11-13,1419,196
2016-11-14,1749,1278
2016-11-15,1884,2027
2016-11-16,1890,1922
2016-11-17,1624,696
2016-11-18,2005,206
2016-11-19,2083,199
2016-11-20,1751,299
2016-11-21,1832,237
2016-11-22,1736,537
2016-11-23,1868,209
2016-11-24,1521,213
2016-11-25,1857,223
2016-11-26,1836,199
2016-11-27,1560,197
2016-11-28,1841,202
2016-11-29,1817,241
2016-11-30,1882,252
2016-12-01,1901,1038
2016-12-02,1956,1883
2016-12-03,1694,233
2016-12-04,1760,3209
2016-12-05,1909,3470
2016-12-06,1744,557
2016-12-07,1752,575
2016-12-08,1698,219
2016-12-09,1750,228
2016-12-10,2181,288
2016-12-11,1788,290
2016-12-12,1951,647
2016-12-13,1871,243
2016-12-22,1828,246
2016-12-23,2048,247
2016-12-24,1738,222
2016-12-25,1617,184
2016-12-26,1730,237
2016-12-27,1747,188
2016-12-28,2333,293
2016-12-29,1990,225
2016-12-30,2000,228
2016-12-31,1678,149
2017-01-01,1311,172
2017-01-02,1657,186
2017-01-03,1690,210
2017-01-04,2118,3238
2017-01-05,1900,2862
2017-01-06,1815,782
2017-01-07,1661,203
2017-01-08,1496,173
2017-01-09,1755,763
2017-01-10,1831,202
2017-01-11,1920,214
2017-01-11,1920,214
2017-01-12,1713,180
2017-01-13,1690,171
2017-01-14,1716,192
2017-01-15,1359,161
2017-01-16,1615,178
2017-01-17,1881,1373
2017-01-18,1759,174
2017-01-19,1875,1370
2017-01-20,1726,178
2017-01-21,1813,213
2017-01-22,1426,171
2017-01-23,1786,610
2017-01-24,1381,169
2017-01-25,1297,290
2017-01-26,1408,164
2017-01-27,1887,196
2017-01-28,1939,211
2017-01-29,1515,185
2017-01-30,1756,190
2017-01-31,1729,850
2017-02-01,2068,663
2017-02-02,1917,319
2017-02-03,1918,203
2017-02-04,1694,191
2017-02-05,1350,140
2017-02-06,1801,715
2017-02-07,1746,335
2017-02-08,1760,269
2017-02-09,1750,161
2017-02-10,1813,366
2017-02-11,1777,178
2017-02-12,1431,162
2017-02-13,1652,161
2017-02-14,1549,151
2017-02-15,1301,128
2017-02-16,1815,1045
2017-02-17,1842,158
2017-02-18,1928,201
2017-02-19,1730,163
2017-02-20,2091,211
2017-02-21,2362,214
2017-02-22,2780,300
2017-02-23,3063,371
2017-02-24,3229,1344
2017-02-25,2985,332
2017-02-26,2628,293
2017-02-27,3005,370
2017-02-28,3097,284
2017-03-01,3301,1219
2017-03-02,2425,259
2017-03-03,2749,299
2017-03-04,2381,241
2017-03-05,2095,229
2017-03-06,2359,259
2017-03-07,2429,244
2017-03-08,2289,247
2017-03-09,2191,240
2017-03-10,1804,202
2017-03-11,1792,219
2017-03-12,1801,184
2017-03-13,1848,203
2017-03-14,1946,202
2017-03-15,1899,189
2017-03-16,1888,198
2017-03-17,2072,219
2017-03-18,1992,201
2017-03-19,1851,192
2017-03-20,1981,203
2017-03-21,1996,178
2017-03-22,2110,239
2017-03-23,2025,233
2017-03-24,2012,210
2017-03-25,1881,185
2017-03-26,1745,183
2017-03-27,2033,216
2017-03-28,2102,265
2017-03-29,1964,194
2017-03-30,2127,213
2017-03-31,2058,188
2017-04-01,2028,250
2017-04-02,1727,210
2017-04-03,1954,198
2017-04-04,2392,213
2017-04-05,2082,218
2017-04-06,1679,168
2017-04-07,2114,238
2017-04-08,1959,242
2017-04-09,1853,180
2017-04-10,1990,203
2017-04-11,2112,501
2017-04-12,1861,201
2017-04-13,2576,285
2017-04-14,2996,307
2017-04-15,2555,250
2017-04-16,2268,226
2017-04-17,2547,253
2017-04-18,3648,343
2017-04-19,6815,543
2017-04-20,4425,390
2017-04-21,3917,384
2017-04-22,3150,301
2017-04-23,2600,285
2017-04-24,2816,263
2017-04-25,2702,287
2017-04-26,2810,347
2017-04-27,2484,317
2017-04-28,2445,282
2017-04-29,2518,258
2017-04-30,2240,277
2017-05-01,2351,314
2017-05-02,2384,276
2017-05-03,2467,262
2017-05-04,2246,257
2017-05-05,2260,298
2017-05-06,2129,289
2017-05-07,2059,265
2017-05-08,2222,249
