Date,Issuer,Count
2016-10-26,Bank of America,539
2016-10-26,U.S. Bank,86
2016-10-26,Citibank®,39
2016-10-26,State Employees' Credit Union,10
2016-10-26,Fifth Third Bank,11
2016-10-26,Elan Financial Services Fidelity,12
2016-10-26,NAVY FEDERAL CREDIT UNION,72
2016-10-26,Capital One,68
2016-10-26,PNC BANK,62
2016-10-26,listing below.  There is no,106
2016-10-26,USAA Federal Savings Bank,16
2016-10-26,TD Bank,31
2016-10-26,SunTrust,25
2016-10-26,Regions Bank,24
2016-10-26,American Express,137
2016-10-26,Wells Fargo Bank,295
2016-10-26,Chase,513
2016-10-26,Citi\u00AE,53
2016-10-26,Citibank,21
2016-10-26,TCF NATIONAL BANK,16
2016-10-27,U.S. Bank,113
2016-10-27,Chase,566
2016-10-27,Wells Fargo Bank,519
2016-10-27,Capital One,439
2016-10-27,Citi\u00AE,106
2016-10-27,SunTrust,152
2016-10-27,Fifth Third Bank,136
2016-10-27,American Express,158
2016-10-27,listing below.  There is no,120
2016-10-27,Bank of America,744
2016-10-27,PNC BANK,66
2016-10-27,Regions Bank,25
2016-10-27,Security Service Federal Credit Union,33
2016-10-27,RBFCU,57
2016-10-27,NAVY FEDERAL CREDIT UNION,56
2016-10-27,Citibank,34
2016-10-27,Citibank®,72
2016-10-27,Associated Bank,32
2016-10-27,TD Bank,27
2016-10-27,KeyBank,82
2016-10-28,Bank of America,715
2016-10-28,NAVY FEDERAL CREDIT UNION,73
2016-10-28,Citi\u00AE,74
2016-10-28,U.S. Bank,92
2016-10-28,listing below.  There is no,127
2016-10-28,American Express,173
2016-10-28,Wells Fargo Bank,367
2016-10-28,Chase,543
2016-10-28,Capital One,70
2016-10-28,PNC BANK,52
2016-10-28,Citibank®,39
2016-10-28,BRANCH BANKING and TRUST CO,10
2016-10-28,USAA Federal Savings Bank,13
2016-10-28,Elan Financial Services Fidelity,13
2016-10-28,Citibank,28
2016-10-28,Fifth Third Bank,17
2016-10-28,SunTrust,29
2016-10-28,TD Bank,33
2016-10-28,Regions Bank,33
2016-10-28,TCF NATIONAL BANK,9
2016-10-29,Bank of America,535
2016-10-29,NAVY FEDERAL CREDIT UNION,69
2016-10-29,Capital One,71
2016-10-29,U.S. Bank,79
2016-10-29,PNC BANK,61
2016-10-29,American Express,149
2016-10-29,Wells Fargo Bank,249
2016-10-29,Chase,508
2016-10-29,Citi\u00AE,67
2016-10-29,listing below.  There is no,113
2016-10-29,Citibank®,42
2016-10-29,Citibank,28
2016-10-29,COMPASS BANK,9
2016-10-29,Elan Financial Services Fidelity,11
2016-10-29,Fifth Third Bank,13
2016-10-29,BRANCH BANKING and TRUST CO,9
2016-10-29,SunTrust,17
2016-10-29,TD Bank,21
2016-10-29,Regions Bank,24
2016-10-29,USAA Federal Savings Bank,15
2016-10-30,Chase,478
2016-10-30,Wells Fargo Bank,335
2016-10-30,American Express,137
2016-10-30,listing below.  There is no,116
2016-10-30,U.S. Bank,80
2016-10-30,Capital One,80
2016-10-30,Citi\u00AE,66
2016-10-30,PNC BANK,56
2016-10-30,NAVY FEDERAL CREDIT UNION,52
2016-10-30,Bank of America,521
2016-10-30,Elan Financial Services Fidelity,9
2016-10-30,BRANCH BANKING and TRUST CO,9
2016-10-30,Citibank,30
2016-10-30,Regions Bank,25
2016-10-30,SunTrust,23
2016-10-30,USAA Federal Savings Bank,20
2016-10-30,TD Bank,19
2016-10-30,Fifth Third Bank,11
2016-10-30,TCF NATIONAL BANK,9
2016-10-30,Citibank®,40
2016-10-31,PNC BANK,62
2016-10-31,Chase,489
2016-10-31,Citi\u00AE,76
2016-10-31,Capital One,151
2016-10-31,American Express,157
2016-10-31,Bank of America,567
2016-10-31,listing below.  There is no,90
2016-10-31,U.S. Bank,78
2016-10-31,NAVY FEDERAL CREDIT UNION,69
2016-10-31,Wells Fargo Bank,348
2016-10-31,USAA Federal Savings Bank,11
2016-10-31,Citibank,27
2016-10-31,TCF NATIONAL BANK,11
2016-10-31,RBFCU,13
2016-10-31,SunTrust,36
2016-10-31,Fifth Third Bank,37
2016-10-31,Citibank®,38
2016-10-31,KeyBank,22
2016-10-31,Regions Bank,33
2016-10-31,TD Bank,34
2016-11-01,listing below.  There is no,117
2016-11-01,Citi\u00AE,52
2016-11-01,American Express,160
2016-11-01,Wells Fargo Bank,350
2016-11-01,Chase,575
2016-11-01,Bank of America,641
2016-11-01,Capital One,78
2016-11-01,NAVY FEDERAL CREDIT UNION,74
2016-11-01,PNC BANK,47
2016-11-01,U.S. Bank,88
2016-11-01,SunTrust,34
2016-11-01,State Employees' Credit Union,13
2016-11-01,TD Bank,30
2016-11-01,Citibank®,40
2016-11-01,Fifth Third Bank,15
2016-11-01,KeyBank,17
2016-11-01,Elan Financial Services Fidelity,11
2016-11-01,Regions Bank,26
2016-11-01,Citibank,29
2016-11-01,USAA Federal Savings Bank,20
2016-11-02,PNC BANK,59
2016-11-02,listing below.  There is no,124
2016-11-02,Bank of America,574
2016-11-02,Capital One,70
2016-11-02,Chase,528
2016-11-02,American Express,142
2016-11-02,NAVY FEDERAL CREDIT UNION,59
2016-11-02,U.S. Bank,99
2016-11-02,Wells Fargo Bank,431
2016-11-02,Citi\u00AE,61
2016-11-02,Fifth Third Bank,10
2016-11-02,State Employees' Credit Union,17
2016-11-02,USAA Federal Savings Bank,25
2016-11-02,TCF NATIONAL BANK,9
2016-11-02,Citibank®,34
2016-11-02,COMPASS BANK,15
2016-11-02,Citibank,27
2016-11-02,Regions Bank,24
2016-11-02,SunTrust,23
2016-11-02,TD Bank,33
2016-11-03,Citi\u00AE,68
2016-11-03,Capital One,69
2016-11-03,U.S. Bank,97
2016-11-03,PNC BANK,61
2016-11-03,American Express,147
2016-11-03,Wells Fargo Bank,346
2016-11-03,Chase,526
2016-11-03,Bank of America,547
2016-11-03,listing below.  There is no,115
2016-11-03,NAVY FEDERAL CREDIT UNION,67
2016-11-03,KeyBank,11
2016-11-03,TD Bank,29
2016-11-03,Regions Bank,27
2016-11-03,USAA Federal Savings Bank,21
2016-11-03,SunTrust,19
2016-11-03,Citibank®,33
2016-11-03,Elan Financial Services Fidelity,13
2016-11-03,State Employees' Credit Union,11
2016-11-03,COMPASS BANK,9
2016-11-03,Citibank,15
2016-11-04,listing below.  There is no,177
2016-11-04,NAVY FEDERAL CREDIT UNION,88
2016-11-04,Citi\u00AE,90
2016-11-04,PNC BANK,94
2016-11-04,Bank of America,732
2016-11-04,U.S. Bank,103
2016-11-04,American Express,191
2016-11-04,Wells Fargo Bank,364
2016-11-04,Chase,748
2016-11-04,Capital One,107
2016-11-04,USAA Federal Savings Bank,31
2016-11-04,Elan Financial Services Fidelity,17
2016-11-04,Citibank®,58
2016-11-04,Discover Card,16
2016-11-04,TD Bank,45
2016-11-04,Citibank,33
2016-11-04,Regions Bank,35
2016-11-04,BRANCH BANKING and TRUST CO,23
2016-11-04,SunTrust,22
2016-11-04,Fifth Third Bank,20
2016-11-05,NAVY FEDERAL CREDIT UNION,87
2016-11-05,Chase,641
2016-11-05,U.S. Bank,109
2016-11-05,Capital One,107
2016-11-05,Wells Fargo Bank,410
2016-11-05,American Express,190
2016-11-05,listing below.  There is no,147
2016-11-05,Bank of America,581
2016-11-05,Citi\u00AE,72
2016-11-05,PNC BANK,89
2016-11-05,SunTrust,28
2016-11-05,Elan Financial Services Fidelity,13
2016-11-05,Fifth Third Bank,22
2016-11-05,Citibank®,48
2016-11-05,BRANCH BANKING and TRUST CO,21
2016-11-05,Regions Bank,31
2016-11-05,TD Bank,41
2016-11-05,KeyBank,13
2016-11-05,Citibank,23
2016-11-05,USAA Federal Savings Bank,27
2016-11-06,listing below.  There is no,107
2016-11-06,NAVY FEDERAL CREDIT UNION,61
2016-11-06,Chase,553
2016-11-06,Wells Fargo Bank,301
2016-11-06,American Express,160
2016-11-06,Citi\u00AE,58
2016-11-06,Capital One,93
2016-11-06,Bank of America,461
2016-11-06,PNC BANK,67
2016-11-06,U.S. Bank,66
2016-11-06,Citibank®,41
2016-11-06,Regions Bank,22
2016-11-06,Fifth Third Bank,14
2016-11-06,SunTrust,24
2016-11-06,State Employees' Credit Union,13
2016-11-06,TD Bank,26
2016-11-06,USAA Federal Savings Bank,30
2016-11-06,COMPASS BANK,11
2016-11-06,TCF NATIONAL BANK,12
2016-11-06,Citibank,22
2016-11-07,Citi\u00AE,65
2016-11-07,U.S. Bank,112
2016-11-07,American Express,157
2016-11-07,Bank of America,590
2016-11-07,Chase,554
2016-11-07,Capital One,102
2016-11-07,NAVY FEDERAL CREDIT UNION,68
2016-11-07,Wells Fargo Bank,344
2016-11-07,PNC BANK,66
2016-11-07,listing below.  There is no,128
2016-11-07,Elan Financial Services Fidelity,15
2016-11-07,SunTrust,20
2016-11-07,COMPASS BANK,11
2016-11-07,KeyBank,11
2016-11-07,Regions Bank,30
2016-11-07,TD Bank,36
2016-11-07,USAA Federal Savings Bank,21
2016-11-07,Fifth Third Bank,21
2016-11-07,Citibank®,38
2016-11-07,Citibank,29
2016-11-08,Capital One,93
2016-11-08,PNC BANK,58
2016-11-08,NAVY FEDERAL CREDIT UNION,63
2016-11-08,Citi\u00AE,65
2016-11-08,Bank of America,597
2016-11-08,listing below.  There is no,136
2016-11-08,U.S. Bank,104
2016-11-08,Chase,575
2016-11-08,Wells Fargo Bank,356
2016-11-08,American Express,190
2016-11-08,SunTrust,23
2016-11-08,Regions Bank,24
2016-11-08,Elan Financial Services Fidelity,10
2016-11-08,Citibank®,47
2016-11-08,USAA Federal Savings Bank,18
2016-11-08,State Employees' Credit Union,9
2016-11-08,TD Bank,23
2016-11-08,COMPASS BANK,8
2016-11-08,Fifth Third Bank,16
2016-11-08,Citibank,28
2016-11-09,American Express,152
2016-11-09,Bank of America,538
2016-11-09,Chase,522
2016-11-09,PNC BANK,75
2016-11-09,Wells Fargo Bank,441
2016-11-09,listing below.  There is no,132
2016-11-09,NAVY FEDERAL CREDIT UNION,62
2016-11-09,Citi\u00AE,49
2016-11-09,Capital One,73
2016-11-09,U.S. Bank,105
2016-11-09,USAA Federal Savings Bank,15
2016-11-09,State Employees' Credit Union,13
2016-11-09,TCF NATIONAL BANK,12
2016-11-09,Fifth Third Bank,23
2016-11-09,Regions Bank,30
2016-11-09,Citibank®,42
2016-11-09,SunTrust,20
2016-11-09,BRANCH BANKING and TRUST CO,13
2016-11-09,Citibank,20
2016-11-09,TD Bank,29
2016-11-10,Bank of America,524
2016-11-10,Capital One,100
2016-11-10,Wells Fargo Bank,375
2016-11-10,American Express,160
2016-11-10,Citi\u00AE,51
2016-11-10,Chase,558
2016-11-10,NAVY FEDERAL CREDIT UNION,46
2016-11-10,U.S. Bank,70
2016-11-10,PNC BANK,65
2016-11-10,listing below.  There is no,133
2016-11-10,Regions Bank,29
2016-11-10,Security Service Federal Credit Union,11
2016-11-10,Fifth Third Bank,11
2016-11-10,Elan Financial Services Fidelity,13
2016-11-10,SunTrust,20
2016-11-10,USAA Federal Savings Bank,24
2016-11-10,Citibank,27
2016-11-10,BRANCH BANKING and TRUST CO,12
2016-11-10,TD Bank,29
2016-11-10,Citibank®,36
2016-11-11,Capital One,73
2016-11-11,American Express,161
2016-11-11,U.S. Bank,70
2016-11-11,Bank of America,494
2016-11-11,PNC BANK,59
2016-11-11,Citi\u00AE,49
2016-11-11,NAVY FEDERAL CREDIT UNION,75
2016-11-11,Wells Fargo Bank,347
2016-11-11,listing below.  There is no,120
2016-11-11,Chase,514
2016-11-11,Citibank,31
2016-11-11,Fifth Third Bank,12
2016-11-11,Regions Bank,27
2016-11-11,Citibank®,36
2016-11-11,COMPASS BANK,12
2016-11-11,SunTrust,15
2016-11-11,TD Bank,26
2016-11-11,Elan Financial Services Fidelity,15
2016-11-11,USAA Federal Savings Bank,21
2016-11-11,TCF NATIONAL BANK,10
2016-11-12,U.S. Bank,73
2016-11-12,Chase,463
2016-11-12,PNC BANK,65
2016-11-12,listing below.  There is no,122
2016-11-12,Capital One,90
2016-11-12,NAVY FEDERAL CREDIT UNION,55
2016-11-12,American Express,153
2016-11-12,Citi\u00AE,46
2016-11-12,Wells Fargo Bank,228
2016-11-12,Bank of America,437
2016-11-12,Regions Bank,33
2016-11-12,SunTrust,19
2016-11-12,Citibank,28
2016-11-12,KeyBank,11
2016-11-12,Elan Financial Services Fidelity,8
2016-11-12,Fifth Third Bank,11
2016-11-12,America First Credit Union,9
2016-11-12,USAA Federal Savings Bank,21
2016-11-12,Citibank®,30
2016-11-12,TD Bank,27
2016-11-13,listing below.  There is no,110
2016-11-13,Capital One,78
2016-11-13,Citi\u00AE,58
2016-11-13,Wells Fargo Bank,266
2016-11-13,Chase,478
2016-11-13,U.S. Bank,60
2016-11-13,NAVY FEDERAL CREDIT UNION,44
2016-11-13,Bank of America,410
2016-11-13,PNC BANK,60
2016-11-13,American Express,153
2016-11-13,Elan Financial Services Fidelity,13
2016-11-13,SunTrust,13
2016-11-13,TCF NATIONAL BANK,15
2016-11-13,USAA SAVINGS BANK,9
2016-11-13,USAA Federal Savings Bank,18
2016-11-13,Regions Bank,27
2016-11-13,Citibank®,34
2016-11-13,Citibank,26
2016-11-13,TD Bank,35
2016-11-13,Fifth Third Bank,11
2016-11-14,Capital One,462
2016-11-14,U.S. Bank,88
2016-11-14,American Express,176
2016-11-14,listing below.  There is no,117
2016-11-14,Bank of America,521
2016-11-14,Chase,521
2016-11-14,Fifth Third Bank,151
2016-11-14,SunTrust,125
2016-11-14,Citi\u00AE,96
2016-11-14,Wells Fargo Bank,436
2016-11-14,People's United Bank,25
2016-11-14,KeyBank,69
2016-11-14,NAVY FEDERAL CREDIT UNION,70
2016-11-14,Citibank®,78
2016-11-14,RBFCU,37
2016-11-14,Security Service Federal Credit Union,25
2016-11-14,USAA Federal Savings Bank,20
2016-11-14,Citibank,28
2016-11-14,Regions Bank,23
2016-11-14,PNC BANK,53
2016-11-15,Chase,537
2016-11-15,Fifth Third Bank,192
2016-11-15,American Express,178
2016-11-15,Wells Fargo Bank,400
2016-11-15,Citi\u00AE,122
2016-11-15,Capital One,815
2016-11-15,Bank of America,691
2016-11-15,SunTrust,154
2016-11-15,RBFCU,79
2016-11-15,listing below.  There is no,135
2016-11-15,Associated Bank,35
2016-11-15,TD Bank,39
2016-11-15,U.S. Bank,76
