Date,Less than 1 month,1-2 months,2-3 months,More than 3 months
2016-10-26,341,216,185,1145
2016-10-27,327,1285,347,1539
2016-10-28,332,223,218,1344
2016-10-29,300,187,170,1111
2016-10-30,294,191,194,1103
2016-10-31,297,434,219,1177
2016-11-01,360,202,225,1262
2016-11-02,309,186,223,1326
2016-11-03,264,176,223,1250
2016-11-04,392,276,285,1576
2016-11-05,358,239,248,1473
2016-11-06,298,234,212,1143
2016-11-07,291,243,222,1330
2016-11-08,272,207,217,1332
2016-11-09,294,201,233,1366
2016-11-10,248,163,161,995
2016-11-11,289,172,174,1215
2016-11-12,220,172,141,1055
2016-11-13,280,179,160,996
2016-11-14,241,1199,200,1387
2016-11-15,317,1777,331,1486
2016-11-16,295,1079,784,1654
2016-11-17,282,526,269,1243
2016-11-18,313,248,231,1419
2016-11-19,304,208,233,1537
2016-11-20,415,187,187,1261
2016-11-21,321,212,174,1362
2016-11-22,275,515,158,1325
2016-11-23,272,141,171,1493
2016-11-24,275,148,132,1179
2016-11-25,339,179,181,1381
2016-11-26,313,175,161,1386
2016-11-27,316,142,157,1142
2016-11-28,301,166,185,1391
2016-11-29,354,168,179,1357
2016-11-30,348,129,180,1477
2016-12-01,372,525,349,1693
2016-12-02,331,158,1466,1884
2016-12-03,331,133,153,1310
2016-12-04,332,909,977,2751
2016-12-05,328,1140,790,3121
2016-12-06,323,489,155,1334
2016-12-07,330,464,154,1379
2016-12-08,336,117,156,1308
2016-12-09,360,150,145,1323
2016-12-10,439,191,200,1639
2016-12-11,430,156,173,1319
2016-12-12,412,564,186,1436
2016-12-13,382,155,172,1405
2016-12-22,436,137,148,1353
2016-12-23,461,167,172,1495
2016-12-24,404,156,142,1258
2016-12-25,339,165,126,1171
2016-12-26,375,175,139,1278
2016-12-27,410,163,124,1238
2016-12-28,480,237,172,1737
2016-12-29,378,194,145,1498
2016-12-30,425,205,132,1466
2016-12-31,365,156,109,1197
2017-01-01,292,143,105,943
2017-01-02,357,174,100,1212
2017-01-03,390,172,124,1214
2017-01-04,376,2965,171,1844
2017-01-05,340,2610,177,1635
2017-01-06,328,696,139,1434
2017-01-07,334,178,114,1238
2017-01-08,299,144,124,1102
2017-01-09,285,745,138,1350
2017-01-10,345,181,140,1367
2017-01-11,335,193,116,1490
2017-01-11,335,193,116,1490
2017-01-12,294,173,123,1303
2017-01-13,325,180,120,1236
2017-01-14,265,179,124,1340
2017-01-15,284,159,101,976
2017-01-16,296,176,115,1206
2017-01-17,286,1269,146,1553
2017-01-18,287,199,133,1314
2017-01-19,267,1249,140,1589
2017-01-20,263,201,115,1325
2017-01-21,312,216,138,1360
2017-01-22,237,186,108,1066
2017-01-23,247,593,153,1403
2017-01-24,259,181,113,997
2017-01-25,179,315,86,1007
2017-01-26,166,172,108,1126
2017-01-27,282,221,165,1415
2017-01-28,242,210,153,1545
2017-01-29,215,179,149,1157
2017-01-30,242,194,138,1372
2017-01-31,226,801,152,1400
2017-02-01,232,641,176,1682
2017-02-02,250,310,171,1505
2017-02-03,260,218,152,1491
2017-02-04,239,179,141,1326
2017-02-05,199,130,114,1047
2017-02-06,239,672,176,1429
2017-02-07,223,319,153,1386
2017-02-08,205,252,172,1400
2017-02-09,255,147,136,1373
2017-02-10,243,345,167,1424
2017-02-11,238,164,176,1377
2017-02-12,222,125,147,1099
2017-02-13,242,130,135,1306
2017-02-14,178,112,155,1255
2017-02-15,150,103,92,1084
2017-02-16,230,890,186,1554
2017-02-17,210,117,178,1495
2017-02-18,244,140,184,1561
2017-02-19,243,136,192,1322
2017-02-20,228,133,173,1768
2017-02-21,227,121,182,2046
2017-02-22,246,147,209,2478
2017-02-23,353,213,289,2579
2017-02-24,336,1093,321,2823
2017-02-25,317,173,245,2582
2017-02-26,300,134,221,2266
2017-02-27,360,157,221,2637
2017-02-28,270,138,223,2750
2017-03-01,308,948,234,3030
2017-03-02,269,126,192,2097
2017-03-03,301,144,207,2396
2017-03-04,272,130,185,2035
2017-03-05,273,122,159,1770
2017-03-06,313,142,183,1980
2017-03-07,264,153,168,2088
2017-03-08,272,129,173,1962
2017-03-09,331,133,162,1805
2017-03-10,251,97,137,1521
2017-03-11,254,120,109,1528
2017-03-12,221,102,138,1524
2017-03-13,282,153,123,1493
2017-03-14,258,99,145,1646
2017-03-15,275,123,114,1576
2017-03-16,255,114,113,1604
2017-03-17,245,136,115,1795
2017-03-18,261,131,129,1672
2017-03-19,222,130,130,1561
2017-03-20,255,137,124,1668
2017-03-21,246,115,130,1683
2017-03-22,247,121,129,1852
2017-03-23,267,131,113,1747
2017-03-24,241,130,111,1740
2017-03-25,242,123,127,1574
2017-03-26,228,109,90,1501
2017-03-27,243,148,113,1745
2017-03-28,282,136,119,1830
2017-03-29,228,133,138,1659
2017-03-30,254,148,136,1802
2017-03-31,253,134,94,1765
2017-04-01,262,137,119,1760
2017-04-02,227,141,98,1471
2017-04-03,273,124,95,1660
2017-04-04,245,147,140,2073
2017-04-05,237,162,101,1800
2017-04-06,261,133,99,1354
2017-04-07,269,142,117,1824
2017-04-08,271,162,130,1638
2017-04-09,262,121,106,1544
2017-04-10,255,136,121,1681
2017-04-11,254,397,119,1843
2017-04-12,207,126,87,1642
2017-04-13,262,176,122,2301
2017-04-14,326,210,143,2624
2017-04-15,246,146,129,2284
2017-04-16,212,133,111,2038
2017-04-17,251,176,127,2246
2017-04-18,246,169,159,3417
2017-04-19,339,222,257,6540
2017-04-20,430,198,211,3976
2017-04-21,503,217,195,3386
2017-04-22,426,186,151,2688
2017-04-23,427,155,105,2198
2017-04-24,461,179,150,2289
2017-04-25,431,155,126,2277
2017-04-26,432,174,144,2407
2017-04-27,425,153,117,2106
2017-04-28,440,123,135,2029
2017-04-29,418,145,128,2085
2017-04-30,431,121,120,1845
2017-05-01,484,142,117,1922
2017-05-02,457,145,130,1928
2017-05-03,415,150,132,2032
2017-05-04,464,120,134,1785
2017-05-05,472,146,160,1780
2017-05-06,420,142,117,1739
2017-05-07,427,128,110,1659
2017-05-08,381,144,121,1825
