Date,Visa,Master,Amex
2016-10-26,1615,352,143
2016-10-27,1951,1679,166
2016-10-28,1812,412,182
2016-10-29,1518,327,158
2016-10-30,1531,348,143
2016-10-31,1593,611,167
2016-11-01,1734,401,168
2016-11-02,1769,351,149
2016-11-03,1660,331,152
2016-11-04,2163,498,197
2016-11-05,1981,449,200
2016-11-06,1585,355,169
2016-11-07,1786,398,162
2016-11-08,1745,387,199
2016-11-09,1819,367,159
2016-11-10,1347,281,133
2016-11-11,1615,308,168
2016-11-12,1359,304,164
2016-11-13,1384,288,162
2016-11-14,1633,1506,185
2016-11-15,1794,2297,188
2016-11-16,1766,2224,176
2016-11-17,1550,867,165
2016-11-18,1867,451,219
2016-11-19,1958,429,207
2016-11-20,1762,377,202
2016-11-21,1751,408,180
2016-11-22,1612,767,178
2016-11-23,1784,359,218
2016-11-24,1504,326,169
2016-11-25,1779,399,207
2016-11-26,1766,375,199
2016-11-27,1499,346,152
2016-11-28,1768,361,177
2016-11-29,1775,365,186
2016-11-30,1835,413,195
2016-12-01,1787,1278,190
2016-12-02,1822,2164,193
2016-12-03,1651,375,176
2016-12-04,1555,3614,156
2016-12-05,1704,3890,191
2016-12-06,1649,759,162
2016-12-07,1677,773,172
2016-12-08,1680,329,165
2016-12-09,1702,373,182
2016-12-10,2106,466,230
2016-12-11,1810,420,190
2016-12-12,1889,842,204
2016-12-13,1819,415,168
2016-12-22,1792,386,158
2016-12-23,1980,428,180
2016-12-24,1693,390,162
2016-12-25,1551,329,170
2016-12-26,1686,403,168
2016-12-27,1672,395,184
2016-12-28,2259,513,214
2016-12-29,1883,458,192
2016-12-30,1939,400,164
2016-12-31,1558,384,161
2017-01-01,1264,311,122
2017-01-02,1584,346,151
2017-01-03,1629,383,182
2017-01-04,1950,3634,183
2017-01-05,1758,3214,180
2017-01-06,1694,1015,151
2017-01-07,1626,370,132
2017-01-08,1422,351,164
2017-01-09,1633,987,178
2017-01-10,1748,393,183
2017-01-11,1855,387,186
2017-01-11,1855,387,186
2017-01-12,1640,378,171
2017-01-13,1602,370,170
2017-01-14,1675,351,146
2017-01-15,1316,316,149
2017-01-16,1558,356,144
2017-01-17,1706,1705,208
2017-01-18,1691,354,161
2017-01-19,1771,1660,152
2017-01-20,1661,339,147
2017-01-21,1757,388,179
2017-01-22,1397,314,151
2017-01-23,1707,849,151
2017-01-24,1318,336,129
2017-01-25,1220,464,131
2017-01-26,1396,272,104
2017-01-27,1789,445,165
2017-01-28,1911,376,138
2017-01-29,1503,307,144
2017-01-30,1664,409,166
2017-01-31,1621,1111,143
2017-02-01,1976,896,189
2017-02-02,1832,509,190
2017-02-03,1832,391,168
2017-02-04,1646,379,143
2017-02-05,1276,310,135
2017-02-06,1696,926,162
2017-02-07,1675,527,135
2017-02-08,1634,498,183
2017-02-09,1626,382,169
2017-02-10,1712,598,175
2017-02-11,1733,366,134
2017-02-12,1372,319,139
2017-02-13,1575,371,134
2017-02-14,1480,317,123
2017-02-15,1292,236,108
2017-02-16,1753,1290,137
2017-02-17,1750,414,160
2017-02-18,1812,468,196
2017-02-19,1643,399,181
2017-02-20,2029,454,186
2017-02-21,2257,485,232
2017-02-22,2710,570,253
2017-02-23,2974,707,275
2017-02-24,3010,1846,285
2017-02-25,2900,636,297
2017-02-26,2526,596,239
2017-02-27,2935,671,276
2017-02-28,2906,723,285
2017-03-01,3090,1649,324
2017-03-02,2312,578,202
2017-03-03,2666,554,248
2017-03-04,2279,519,207
2017-03-05,2014,482,202
2017-03-06,2298,491,212
2017-03-07,2347,490,249
2017-03-08,2228,487,220
2017-03-09,2115,468,187
2017-03-10,1744,420,176
2017-03-11,1764,400,131
2017-03-12,1731,417,147
2017-03-13,1783,414,159
2017-03-14,1896,404,175
2017-03-15,1796,415,196
2017-03-16,1793,448,168
2017-03-17,1988,472,159
2017-03-18,1897,465,178
2017-03-19,1751,432,187
2017-03-20,1872,475,187
2017-03-21,1889,437,181
2017-03-22,2057,483,172
2017-03-23,1947,457,172
2017-03-24,1909,475,194
2017-03-25,1789,428,153
2017-03-26,1691,376,150
2017-03-27,1967,467,198
2017-03-28,2066,455,173
2017-03-29,1855,467,181
2017-03-30,2057,470,216
2017-03-31,1913,486,203
2017-04-01,1978,485,184
2017-04-02,1667,419,173
2017-04-03,1855,441,185
2017-04-04,2286,521,223
2017-04-05,1990,458,188
2017-04-06,1608,382,175
2017-04-07,2040,477,160
2017-04-08,1864,516,169
2017-04-09,1776,426,155
2017-04-10,1921,435,162
2017-04-11,1985,811,172
2017-04-12,1779,425,185
2017-04-13,2433,597,208
2017-04-14,2809,713,237
2017-04-15,2409,577,210
2017-04-16,2169,456,205
2017-04-17,2387,550,209
2017-04-18,3412,783,340
2017-04-19,6305,1371,718
2017-04-20,4119,997,442
2017-04-21,3664,947,403
2017-04-22,2934,768,350
2017-04-23,2475,632,235
2017-04-24,2620,661,262
2017-04-25,2563,635,262
2017-04-26,2720,665,238
2017-04-27,2375,604,237
2017-04-28,2330,587,216
2017-04-29,2328,656,255
2017-04-30,2135,574,205
2017-05-01,2247,584,217
2017-05-02,2263,596,181
2017-05-03,2272,632,216
2017-05-04,2118,543,223
2017-05-05,2161,568,213
2017-05-06,2062,552,177
2017-05-07,1945,517,187
2017-05-08,2108,555,197
