10/26/2016,Bank of America,539
10/26/2016,Chase,513
10/26/2016,Wells Fargo Bank,295
10/26/2016,American Express,137
10/26/2016,listing below.  There is no,106
10/26/2016,U.S. Bank,86
10/26/2016,NAVY FEDERAL CREDIT UNION,72
10/26/2016,Capital One,68
10/26/2016,PNC BANK,62
10/26/2016,Citi\u00AE,53
10/26/2016,Citibank®,39
10/26/2016,TD Bank,31
10/26/2016,SunTrust,25
10/26/2016,Regions Bank,24
10/26/2016,Citibank,21
10/26/2016,TCF NATIONAL BANK,16
10/26/2016,USAA Federal Savings Bank,16
10/26/2016,Elan Financial Services Fidelity,12
10/26/2016,Fifth Third Bank,11
10/26/2016,State Employees' Credit Union,10
10/27/2016,Bank of America,744
10/27/2016,Chase,566
10/27/2016,Wells Fargo Bank,519
10/27/2016,Capital One,439
10/27/2016,American Express,158
10/27/2016,SunTrust,152
10/27/2016,Fifth Third Bank,136
10/27/2016,listing below.  There is no,120
10/27/2016,U.S. Bank,113
10/27/2016,Citi\u00AE,106
10/27/2016,KeyBank,82
10/27/2016,Citibank®,72
10/27/2016,PNC BANK,66
10/27/2016,RBFCU,57
10/27/2016,NAVY FEDERAL CREDIT UNION,56
10/27/2016,Citibank,34
10/27/2016,Security Service Federal Credit Union,33
10/27/2016,Associated Bank,32
10/27/2016,TD Bank,27
10/27/2016,Regions Bank,25
10/28/2016,Bank of America,715
10/28/2016,Chase,543
10/28/2016,Wells Fargo Bank,367
10/28/2016,American Express,173
10/28/2016,listing below.  There is no,127
10/28/2016,U.S. Bank,92
10/28/2016,Citi\u00AE,74
10/28/2016,NAVY FEDERAL CREDIT UNION,73
10/28/2016,Capital One,70
10/28/2016,PNC BANK,52
10/28/2016,Citibank®,39
10/28/2016,Regions Bank,33
10/28/2016,TD Bank,33
10/28/2016,SunTrust,29
10/28/2016,Citibank,28
10/28/2016,Fifth Third Bank,17
10/28/2016,Elan Financial Services Fidelity,13
10/28/2016,USAA Federal Savings Bank,13
