Date,Net CRU at start of day, Net CRU at end of day, Total add,New user adds, Returning user adds, Total delete, Net change
10/26/2016,1401278,1403260,3869,3169,700,1887,1982
10/27/2016,1403260,1403382,3619,2927,692,3497,122
10/28/2016,1403382,1404934,3669,2871,798,2117,1552
10/29/2016,1404934,1406772,3606,2935,671,1768,1838
10/30/2016,1406772,1408591,3601,2925,676,1782,1819
10/31/2016,1408591,1409483,3019,2452,567,2127,892
11/1/2016,1409483,1410863,3429,2737,692,2049,1380
11/2/2016,1410863,1412242,3423,2784,639,2044,1379
11/3/2016,1412242,1413869,3540,2848,692,1913,1627
11/4/2016,1413869,1416551,5211,4122,1089,2529,2682
11/5/2016,1416551,1421656,7423,5749,1674,2318,5105
11/6/2016,1421656,1426378,6609,5463,1146,1887,4722
11/7/2016,1426378,1428975,4683,3829,854,2086,2597
11/8/2016,1428975,1430676,3729,3014,715,2028,1701
11/9/2016,1430676,1433115,4533,3769,764,2094,2439
11/10/2016,1433115,1436019,4879,4069,810,1975,2904
11/11/2016,1436019,1439138,4969,4143,826,1850,3119
11/12/2016,1439138,1443778,6228,4837,1391,1588,4640
11/13/2016,1443778,1448025,5862,5062,800,1615,4247
11/14/2016,1448025,1449132,4134,3462,672,3027,1107
11/15/2016,1449132,1449459,4238,3536,702,3911,327
11/16/2016,1449459,1449397,3750,3086,664,3812,-62
11/17/2016,1449397,1450586,3509,2898,611,2320,1189
11/18/2016,1450586,1453476,5101,4030,1071,2211,2890
11/19/2016,1453476,1457970,6776,5422,1354,2282,4494
11/20/2016,1457970,1462668,6748,5445,1303,2050,4698
11/21/2016,1462668,1465968,5369,4401,968,2069,3300
11/22/2016,1465968,1469508,5813,4296,1517,2273,3540
11/23/2016,1469509,1473602,6170,4989,1181,2077,4093
11/24/2016,1473602,1478738,6870,5792,1078,1734,5136
11/25/2016,1478738,1483430,6772,5750,1022,2080,4692
11/26/2016,1483430,1487817,6422,5531,891,2035,4387
11/27/2016,1487817,1492000,5940,5126,814,1757,4183
11/28/2016,1492002,1495305,5346,4439,907,2043,3303
11/29/2016,1495305,1498580,5333,4501,832,2058,3275
11/30/2016,1498580,1501713,5267,4435,832,2134,3133
