Date,Visa,Master,Amex
10/26/2016,1615,352,143
10/27/2016,1951,1679,166
10/28/2016,1812,412,182
10/29/2016,1518,327,158
10/30/2016,1531,348,143
10/31/2016,1593,611,167
11/1/2016,1734,401,168
11/2/2016,1769,351,149
11/3/2016,1660,331,152
11/4/2016,2163,498,197
11/5/2016,1981,449,200
11/6/2016,1585,355,169
11/7/2016,1786,398,162
11/8/2016,1745,387,199
11/9/2016,1819,367,159
11/10/2016,1347,281,133
11/11/2016,1615,308,168
11/12/2016,1359,304,164
11/13/2016,1384,288,162
11/14/2016,1633,1506,185
11/15/2016,1794,2297,188
11/16/2016,1766,2224,176
11/17/2016,1550,867,165
11/18/2016,1867,451,219
11/19/2016,1958,429,207
11/20/2016,1762,377,202
11/21/2016,1751,408,180
11/22/2016,1612,767,178
11/23/2016,1784,359,218
11/24/2016,1504,326,169
11/25/2016,1779,399,207
11/26/2016,1766,375,199
11/27/2016,1499,346,152
11/28/2016,1768,361,177
11/29/2016,1775,365,186
11/30/2016,1835,413,195
12/1/2016,1787,1278,190
12/2/2016,1822,2164,193
12/3/2016,1651,375,176
12/4/2016,1555,3614,156
12/5/2016,1704,3890,191
12/6/2016,1649,759,162
12/7/2016,1677,773,172
12/8/2016,1680,329,165
12/9/2016,1702,373,182
12/10/2016,2106,466,230
12/11/2016,1810,420,190
12/12/2016,1889,842,204
12/13/2016,1819,415,168
12/22/2016,1792,386,158
12/23/2016,1980,428,180
12/24/2016,1693,390,162
12/25/2016,1551,329,170
12/26/2016,1686,403,168
12/27/2016,1672,395,184
12/28/2016,2259,513,214
12/29/2016,1883,458,192
12/30/2016,1939,400,164
12/31/2016,1558,384,161
1/1/2017,1264,311,122
1/2/2017,1584,346,151
1/3/2017,1629,383,182
1/4/2017,1950,3634,183
1/5/2017,1758,3214,180
1/6/2017,1694,1015,151
1/7/2017,1626,370,132
1/8/2017,1422,351,164
1/9/2017,1633,987,178
1/10/2017,1748,393,183
1/11/2017,1855,387,186
1/11/2017,1855,387,186
1/12/2017,1640,378,171
1/13/2017,1602,370,170
1/14/2017,1675,351,146
1/15/2017,1316,316,149
1/16/2017,1558,356,144
1/17/2017,1706,1705,208
1/18/2017,1691,354,161
1/19/2017,1771,1660,152
1/20/2017,1661,339,147
1/21/2017,1757,388,179
1/22/2017,1397,314,151
1/23/2017,1707,849,151
1/24/2017,1318,336,129
1/25/2017,1220,464,131
1/26/2017,1396,272,104
1/27/2017,1789,445,165
1/28/2017,1911,376,138
1/29/2017,1503,307,144
1/30/2017,1664,409,166
1/31/2017,1621,1111,143
2/1/2017,1976,896,189
2/2/2017,1832,509,190
2/3/2017,1832,391,168
2/4/2017,1646,379,143
2/5/2017,1276,310,135
2/6/2017,1696,926,162
2/7/2017,1675,527,135
2/8/2017,1634,498,183
2/9/2017,1626,382,169
2/10/2017,1712,598,175
2/11/2017,1733,366,134
2/12/2017,1372,319,139
2/13/2017,1575,371,134
2/14/2017,1480,317,123
2/15/2017,1292,236,108
2/16/2017,1753,1290,137
2/17/2017,1750,414,160
2/18/2017,1812,468,196
2/19/2017,1643,399,181
2/20/2017,2029,454,186
2/21/2017,2257,485,232
2/22/2017,2710,570,253
2/23/2017,2974,707,275
2/24/2017,3010,1846,285
2/25/2017,2900,636,297
2/26/2017,2526,596,239
2/27/2017,2935,671,276
2/28/2017,2906,723,285
3/1/2017,3090,1649,324
3/2/2017,2312,578,202
3/3/2017,2666,554,248
3/4/2017,2279,519,207
3/5/2017,2014,482,202
3/6/2017,2298,491,212
3/7/2017,2347,490,249
3/8/2017,2228,487,220
3/9/2017,2115,468,187
3/10/2017,1744,420,176
3/11/2017,1764,400,131
3/12/2017,1731,417,147
3/13/2017,1783,414,159
3/14/2017,1896,404,175
3/15/2017,1796,415,196
3/16/2017,1793,448,168
3/17/2017,1988,472,159
3/18/2017,1897,465,178
3/19/2017,1751,432,187
3/20/2017,1872,475,187
3/21/2017,1889,437,181
3/22/2017,2057,483,172
3/23/2017,1947,457,172
3/24/2017,1909,475,194
3/25/2017,1789,428,153
3/26/2017,1691,376,150
3/27/2017,1967,467,198
3/28/2017,2066,455,173
3/29/2017,1855,467,181
3/30/2017,2057,470,216
3/31/2017,1913,486,203
4/1/2017,1978,485,184
4/2/2017,1667,419,173
4/3/2017,1855,441,185
4/4/2017,2286,521,223
4/5/2017,1990,458,188
4/6/2017,1608,382,175
4/7/2017,2040,477,160
4/8/2017,1864,516,169
4/9/2017,1776,426,155
