Date,Credit,Debit
10/26/2016,709,1469
10/27/2016,1267,2599
10/28/2016,846,1625
10/29/2016,734,1352
10/30/2016,706,1389
10/31/2016,796,1626
11/1/2016,772,1598
11/2/2016,753,1644
11/3/2016,749,1467
11/4/2016,996,1972
11/5/2016,916,1802
11/6/2016,753,1442
11/7/2016,828,1621
11/8/2016,839,1570
11/9/2016,760,1694
11/10/2016,569,1238
11/11/2016,711,1447
11/12/2016,689,1200
11/13/2016,688,1197
11/14/2016,1177,2203
11/15/2016,1697,2603
11/16/2016,1388,2802
11/17/2016,913,1730
11/18/2016,939,1700
11/19/2016,959,1740
11/20/2016,879,1523
11/21/2016,811,1613
11/22/2016,915,1699
11/23/2016,806,1589
11/24/2016,728,1334
11/25/2016,885,1538
11/26/2016,826,1552
11/27/2016,783,1302
11/28/2016,776,1596
11/29/2016,809,1580
11/30/2016,852,1655
12/1/2016,1110,2162
12/2/2016,1212,2979
12/3/2016,823,1444
12/4/2016,1760,3564
12/5/2016,1902,3930
12/6/2016,932,1717
12/7/2016,929,1763
12/8/2016,820,1445
12/9/2016,762,1551
12/10/2016,1019,1840
12/11/2016,897,1574
12/12/2016,1063,1954
2016-12-13,844,1632
2016-12-22,835,1592
2016-12-23,849,1799
2016-12-24,806,1519
2016-12-25,790,1365
2016-12-26,860,1508
2016-12-27,833,1487
2016-12-28,1020,2054
2016-12-29,897,1706
2016-12-30,845,1767
2016-12-31,751,1430
2017-01-01,654,1122
2017-01-02,737,1430
2017-01-03,803,1470
2017-01-04,2107,3712
2017-01-05,1957,3282
2017-01-06,1020,1962
2017-01-07,756,1424
2017-01-08,747,1261
2017-01-09,997,1862
2017-01-10,877,1549
2017-01-11,919,1589
2017-01-11,919,1589
2017-01-12,748,1480
2017-01-13,824,1395
2017-01-14,795,1466
2017-01-15,680,1159
2017-01-16,781,1376
2017-01-17,1343,2341
2017-01-18,731,1537
2017-01-19,1306,2372
2017-01-20,752,1493
2017-01-21,898,1523
2017-01-22,720,1207
2017-01-23,989,1785
2017-01-24,647,1192
2017-01-25,733,1156
2017-01-26,582,1274
2017-01-27,897,1610
2017-01-28,806,1692
2017-01-29,742,1296
2017-01-30,814,1478
2017-01-31,1044,1921
2017-02-01,1011,2088
2017-02-02,908,1730
2017-02-03,821,1655
2017-02-04,790,1457
2017-02-05,669,1110
2017-02-06,980,1869
2017-02-07,832,1618
2017-02-08,834,1571
2017-02-09,773,1491
2017-02-12,694,1199
2017-02-13,723,1433
