Date,Less than 1 month,1-2 months,2-3 months,More than 3 months
2016-10-26,341,216,185,1145
2016-10-27,327,1285,347,1539
2016-10-28,332,223,218,1344
2016-10-29,300,187,170,1111
2016-10-30,294,191,194,1103
2016-10-31,297,434,219,1177
2016-11-1,360,202,225,1262
2016-11-2,309,186,223,1326
2016-11-3,264,176,223,1250
2016-11-4,392,276,285,1576
2016-11-5,358,239,248,1473
2016-11-6,298,234,212,1143
2016-11-7,291,243,222,1330
2016-11-8,272,207,217,1332
2016-11-9,294,201,233,1366
2016-11-10,248,163,161,995
2016-11-11,289,172,174,1215
2016-11-12,220,172,141,1055
2016-11-13,280,179,160,996
2016-11-14,241,1199,200,1387
2016-11-15,317,1777,331,1486
2016-11-16,295,1079,784,1654
2016-11-17,282,526,269,1243
2016-11-18,313,248,231,1419
2016-11-19,304,208,233,1537
2016-11-20,415,187,187,1261
2016-11-21,321,212,174,1362
2016-11-22,275,515,158,1325
2016-11-23,272,141,171,1493
2016-11-24,275,148,132,1179
2016-11-25,339,179,181,1381
2016-11-26,313,175,161,1386
2016-11-27,316,142,157,1142
2016-11-28,301,166,185,1391
2016-11-29,354,168,179,1357
2016-11-30,348,129,180,1477
2016-12-1,372,525,349,1693
2016-12-2,331,158,1466,1884
2016-12-3,331,133,153,1310
2016-12-4,332,909,977,2751
2016-12-5,328,1140,790,3121
2016-12-6,323,489,155,1334
2016-12-7,330,464,154,1379
2016-12-8,336,117,156,1308
2016-12-9,360,150,145,1323
2016-12-10,439,191,200,1639
2016-12-11,430,156,173,1319
2016-12-12,412,564,186,1436
2016-12-13,382,155,172,1405
2016-12-22,436,137,148,1353
2016-12-23,461,167,172,1495
2016-12-24,404,156,142,1258
2016-12-25,339,165,126,1171
2016-12-26,375,175,139,1278
2016-12-27,410,163,124,1238
2016-12-28,480,237,172,1737
2016-12-29,378,194,145,1498
2016-12-30,425,205,132,1466
2016-12-31,365,156,109,1197
2017-01-01,292,143,105,943
2017-01-02,357,174,100,1212
2017-01-03,390,172,124,1214
2017-01-04,376,2965,171,1844
2017-01-05,340,2610,177,1635
2017-01-06,328,696,139,1434
2017-01-07,334,178,114,1238
2017-01-08,299,144,124,1102
2017-01-09,285,745,138,1350
2017-01-10,345,181,140,1367
2017-01-11,335,193,116,1490
2017-01-11,335,193,116,1490
2017-01-12,294,173,123,1303
2017-01-13,325,180,120,1236
2017-01-14,265,179,124,1340
2017-01-15,284,159,101,976
2017-01-16,296,176,115,1206
2017-01-17,286,1269,146,1553
2017-01-18,287,199,133,1314
2017-01-19,267,1249,140,1589
2017-01-20,263,201,115,1325
2017-01-21,312,216,138,1360
2017-01-22,237,186,108,1066
2017-01-23,247,593,153,1403
2017-01-24,259,181,113,997
2017-01-25,179,315,86,1007
2017-01-26,166,172,108,1126
2017-01-27,282,221,165,1415
2017-01-28,242,210,153,1545
2017-01-29,215,179,149,1157
2017-01-30,242,194,138,1372
2017-01-31,226,801,152,1400
2017-02-01,232,641,176,1682
2017-02-02,250,310,171,1505
2017-02-03,260,218,152,1491
2017-02-04,239,179,141,1326
2017-02-05,199,130,114,1047
2017-02-06,239,672,176,1429
2017-02-07,223,319,153,1386
2017-02-08,205,252,172,1400
2017-02-09,255,147,136,1373
2017-02-10,243,345,167,1424
2017-02-11,238,164,176,1377
2017-02-12,222,125,147,1099
2017-02-13,242,130,135,1306
2017-02-14,178,112,155,1255
2017-02-15,150,103,92,1084
2017-02-16,230,890,186,1554
2017-02-16,230,890,186,1554
2017-02-17,192,119,170,1519
2017-02-18,228,141,174,1586
2017-02-19,231,137,194,1331
2017-02-20,228,133,173,1768
